phase,flux,flux_err
-2.0125294843520054,1.0018914,0.0023808123
-2.012523683690117,1.0112307,0.0053710616
-2.012501469294732,1.0035741,0.005626638
-2.0124963929481634,1.0008307,0.0053537525
-2.012321131952982,0.9964207,0.005314934
-2.0122922004511947,0.99379873,0.005345258
-2.012269990244692,1.002487,0.0056321165
-2.012264912968181,0.99885553,0.005350495
-2.012089645454086,0.9963162,0.0053102514
-2.0120607176772447,1.0044297,0.005360589
-2.0120385111946524,0.9969353,0.005620045
-2.0120334325232268,1.0015495,0.005358241
-2.0119449760565766,1.0011319,0.0024196769
-2.011911635920026,0.9979201,0.0027569497
-2.011858158490909,1.0016556,0.005328551
-2.011829234437978,0.99963635,0.0053599714
-2.0118070321456476,1.006789,0.005626288
-2.0118019525428994,1.0007244,0.0053599104
-2.01168621232025,1.0001857,0.0024141404
-2.011670235200055,1.0035276,0.0022582605
-2.0116266719920133,0.99892086,0.0053183166
-2.011597751663683,1.0051863,0.005362163
-2.011575553561269,1.00587,0.005626145
-2.011570472562572,1.0099174,0.0053550634
-2.01151092851077,0.99744534,0.0023973004
-2.011459813803936,1.0019519,0.0025411923
-2.0113951854941527,0.9919519,0.005309417
-2.011366268889388,0.9994872,0.0053646956
-2.011344074512264,1.0108296,0.005635405
-2.011338992117273,1.006111,0.0053467294
-2.0111636985302854,1.0001988,0.0053152107
-2.011140633350871,0.99909973,0.0023794866
-2.011134785649776,0.99679524,0.0053568715
-2.0111125954632594,1.0056621,0.0056366744
-2.0111075121379804,0.9953478,0.005337402
-2.01093221203208,0.9915444,0.00529917
-2.0109033028765158,1.0029173,0.0053586173
-2.0108811168788807,0.9996146,0.0056174747
-2.010876031692337,1.0010325,0.005356015
-2.0107007255338742,0.99902403,0.005315319
-2.010671819637249,0.99680823,0.005358534
-2.010649637829531,1.0124934,0.005625283
-2.010644551712009,0.9964353,0.0053398325
-2.0105560784825873,1.0004321,0.0024184538
-2.0105227504599563,1.0023638,0.002758965
-2.010469238570007,1.0054175,0.005316539
-2.010440336862954,1.0035504,0.005366286
-2.010418158780181,1.0124888,0.00563043
-2.0104130712660204,0.99724776,0.0053430647
-2.010297331510067,0.99974644,0.0024155215
-2.0102813571900486,0.99969625,0.002256827
-2.0102377520718013,0.9915436,0.005308658
-2.0102088536229976,0.9971446,0.0053579765
-2.0101866797301415,1.0036467,0.00562574
-2.0101815912863827,1.0031602,0.00535179
-2.0101220085905576,0.99835473,0.0023998455
-2.0100709404384696,1.0043349,0.0025417572
-2.0100062655735957,0.99899554,0.005342743
-2.0099773708497373,1.0038899,0.005358535
-2.0099552011457633,1.0049102,0.0056212656
-2.009950111306745,1.0067074,0.005370002
-2.0097747786104185,1.0026203,0.0053211367
-2.0097517828167777,0.9986343,0.0023779748
-2.009745888075787,0.99746597,0.005352094
-2.009723722096758,0.999213,0.0056213303
-2.0097186308614465,0.9990203,0.005350287
-2.0095432921122125,0.9911228,0.0053019
-2.0095144048361755,1.0033069,0.0053602154
-2.0094922430467186,0.99920064,0.005608108
-2.0094871508811187,0.99435484,0.0053443024
-2.009311805614352,1.0007341,0.005319067
-2.00928292206188,0.994262,0.0053467816
-2.0092607639970237,1.0020795,0.005623702
-2.00925567043513,0.99718046,0.005341972
-2.009167180443282,0.9997352,0.0024171441
-2.0091338649993693,1.0017033,0.0027581535
-2.00908031865014,0.9976396,0.0053086258
-2.0090514388229583,0.9967882,0.0053513423
-2.0090292854129905,0.99449676,0.0056154956
-2.0090241904558375,1.0041637,0.005355673
-2.008908450233533,1.0026815,0.0024159914
-2.0088924791810774,1.0039015,0.0022567487
-2.008848832152279,0.99441576,0.0053130216
-2.008819956050388,1.0099415,0.005367192
-2.0087978063636407,0.98752224,0.00561482
-2.008792710010194,1.0152369,0.0053666523
-2.0087330886696555,0.9987947,0.0023984502
-2.0086820666052727,0.9994722,0.0025394615
-2.0086173456533833,1.0035735,0.0053193895
-2.0085884732764376,0.9965681,0.005355469
-2.0085663273136007,1.0051059,0.0056252913
-2.008561230030556,1.0099374,0.005360682
-2.008385858690206,0.9956743,0.005303516
-2.0083629318165057,1.0017619,0.0023775452
-2.0083569900368263,1.0071305,0.005354013
-2.0083348482635612,1.0028989,0.0056294384
-2.0083297500509185,0.99506754,0.0053399573
-2.0081543721913104,0.99996686,0.0053202184
-2.0081255072635655,1.0009378,0.005352797
-2.0081033696798727,0.99914587,0.00561797
-2.008098269604585,0.9988615,0.005353056
-2.00792288569345,1.0053189,0.005330533
-2.007894024023609,1.0058848,0.005366408
-2.007871890630523,0.99731576,0.0056165843
-2.0078667896242575,1.0009412,0.0053488757
-2.007778282869637,1.0012301,0.0024179823
-2.0077449795392996,0.99930376,0.0027557486
-2.0076913987295826,1.0005499,0.005310036
-2.007662541249314,0.9970136,0.0053537805
-2.007640411580483,0.99864364,0.0056194654
-2.0076353091793036,0.99701506,0.0053400155
-2.0075195694223154,0.99738425,0.0024127273
-2.0075036011724503,1.0011754,0.0022568798
-2.007459912231377,1.0010444,0.0053159324
-2.0074310584757087,1.0031843,0.0053575397
-2.0074089325304434,1.008735,0.005634164
-2.007403829199666,1.0034983,0.005359579
-2.0073441687487534,1.0005709,0.0023991452
-2.0072931932387714,1.0024632,0.0025421917
-2.0072284257331714,0.9981265,0.005310866
-2.007199575236787,0.99883896,0.0053615603
-2.0071774539471,0.99565965,0.005611925
-2.007172348754712,1.0032378,0.00535677
-2.006996938769304,0.99542046,0.0053056977
